Date, Train ID, Departure Time, Arrival Time, Delay
2026-07-03, 9101, 3:47, 5:30, +18 min întârziere
2026-07-03, 9103, 5:12, 7:04, +33 min întârziere
2026-07-03, 10261, 8:58, 10:41, +33 min întârziere
2026-07-03, 10263, 10:46, 12:25, +51 min întârziere
2026-07-03, 9107, 14:04, 15:52, +42 min întârziere
2026-07-03, 10165, 15:52, 17:36, +62 min întârziere
2026-07-03, 10267, 18:46, 20:33, +28 min întârziere
2026-07-04, 9101, 3:47, 5:30, +17 min întârziere
2026-07-04, 9103, 5:12, 7:04, +32 min întârziere
2026-07-04, 10261, 8:58, 10:41, +26 min întârziere
2026-07-04, 10263, 10:46, 12:25, 0 min
2026-07-04, 9107, 14:04, 15:52, +25 min întârziere
2026-07-04, 10165, 15:52, 17:36, +11 min întârziere
2026-07-04, 10267, 18:46, 20:33, +20 min întârziere
2026-07-05, 9101, 3:47, 5:30, 0 min
2026-07-05, 9103, 5:12, 7:04, +42 min întârziere
2026-07-05, 10261, 8:58, 10:41, +25 min întârziere
2026-07-05, 10263, 10:46, 12:25, 0 min
2026-07-05, 9107, 14:04, 15:52, +39 min întârziere
2026-07-05, 10165, 15:52, 17:36, +16 min întârziere
2026-07-05, 10267, 18:46, 20:33, +7 min întârziere
